address,type_house,type_forrent,area,floor,furniture,condition,price
"42 Võ Chí Công, Q3",phòng trọ,cho thuê,12.0,0,không có,cũ,1800000.0
"52 Quốc tế, Q9",phòng trọ,cho thuê,18.0,0,đầy đủ,cũ,2500000.0
"160 Phạm Văn Đồng, Q7",phòng trọ,cho thuê,13.0,0,cơ bản,cũ,1700000.0
"41 Lạc Long Quân, Q8",chung cư,bán,75.0,18,đầy đủ,tốt,5770800000.0
"24 Võ Nguyên Giáp, Q9",nhà nguyên căn,cho thuê,28.0,3,đầy đủ,tốt,14500000.0
"98 Phạm Ngũ Lão, Q8",nhà nguyên căn,bán,34.0,5,đầy đủ,mới,9213400000.0
"12 Quốc tế, Q1",phòng trọ,cho thuê,20.0,0,cơ bản,tốt,2600000.0
"9 Lê Lợi, Q5",nhà nguyên căn,cho thuê,36.0,1,không có,cũ,4900000.0
"128 Võ Chí Công, Q9",chung cư,bán,65.0,2,cơ bản,cũ,1749600000.0
"173 Lam Sơn, Q5",phòng trọ,cho thuê,14.0,0,đầy đủ,mới,2600000.0
"19 Nguyễn Trãi, Q7",phòng trọ,cho thuê,19.0,0,không có,mới,2100000.0
"15 Hai Bà Trưng, Q5",phòng trọ,cho thuê,20.0,0,cơ bản,tốt,2700000.0
"25 Lạc Long Quân, Q2",phòng trọ,cho thuê,16.0,0,cơ bản,tốt,1500000.0
"29 Lê Văn Duyệt, Q2",nhà nguyên căn,bán,44.0,1,cơ bản,tốt,1088000000.0
"2 Tôn Đức Thắng, Q6",nhà nguyên căn,bán,29.0,1,cơ bản,mới,1227900000.0
"49 Pasteur, Q7",phòng trọ,cho thuê,17.0,0,không có,cũ,2300000.0
"122 Quách Thị Trang, Q7",nhà nguyên căn,bán,38.0,4,cơ bản,mới,12521600000.0
"177 Trần Hưng Đạo, Q1",phòng trọ,cho thuê,10.0,0,cơ bản,cũ,800000.0
"165 Lê Văn Duyệt, Q10",phòng trọ,cho thuê,18.0,0,đầy đủ,cũ,1900000.0
"129 Tôn Đức Thắng, Q10",nhà nguyên căn,cho thuê,35.0,4,không có,mới,20400000.0
"171 Hải Thượng Lãn Ông, Q7",nhà nguyên căn,bán,37.0,1,không có,tốt,2455500000.0
"25 Âu Cơ, Q5",phòng trọ,cho thuê,9.0,0,đầy đủ,mới,1500000.0
"177 Lạc Long Quân, Q5",phòng trọ,cho thuê,11.0,0,cơ bản,tốt,1000000.0
"167 Lý Thường Kiệt, Q4",chung cư,bán,124.0,3,đầy đủ,mới,7245500000.0
"35 Phạm Văn Đồng, Q6",phòng trọ,cho thuê,12.0,0,cơ bản,mới,2100000.0
"86 Lũy Bán Bích, Q5",phòng trọ,cho thuê,12.0,0,không có,mới,2200000.0
"48 Nguyễn Văn Linh, Q3",phòng trọ,cho thuê,11.0,0,đầy đủ,tốt,2100000.0
"146 Quốc tế, Q5",phòng trọ,cho thuê,16.0,0,đầy đủ,cũ,3000000.0
"165 Bùi Viện, Q10",phòng trọ,cho thuê,20.0,0,không có,cũ,1600000.0
"34 Lê Duẩn, Q10",nhà nguyên căn,bán,37.0,4,đầy đủ,cũ,7613700000.0
"149 Trần Hưng Đạo, Q4",phòng trọ,cho thuê,11.0,0,không có,tốt,1100000.0
"109 Cách Mạng Tháng Tám, Q3",nhà nguyên căn,cho thuê,33.0,1,đầy đủ,cũ,5600000.0
"198 Lý Tự Trọng, Q10",chung cư,cho thuê,84.0,7,đầy đủ,tốt,15100000.0
"166 Quách Thị Trang, Q4",phòng trọ,cho thuê,19.0,0,đầy đủ,cũ,1400000.0
"195 Công xã Paris, Q1",nhà nguyên căn,cho thuê,32.0,4,cơ bản,cũ,19500000.0
"184 Lê Lợi, Q9",chung cư,bán,90.0,13,không có,tốt,5560300000.0
"189 Lý Thường Kiệt, Q10",chung cư,bán,120.0,13,cơ bản,tốt,5654900000.0
"124 Phạm Ngũ Lão, Q9",phòng trọ,cho thuê,17.0,0,không có,cũ,1900000.0
"33 Trường Chinh, Q7",phòng trọ,cho thuê,9.0,0,đầy đủ,cũ,1000000.0
"62 Công xã Paris, Q4",nhà nguyên căn,bán,45.0,2,cơ bản,mới,5703500000.0
"51 Pasteur, Q2",phòng trọ,cho thuê,17.0,0,đầy đủ,mới,1700000.0
"199 Lạc Long Quân, Q3",văn phòng,cho thuê,370.0,1,cơ bản,tốt,478700000.0
"154 Hải Thượng Lãn Ông, Q7",phòng trọ,cho thuê,11.0,0,không có,tốt,1600000.0
"78 Nam Kỳ Khởi Nghĩa, Q7",phòng trọ,cho thuê,10.0,0,không có,mới,800000.0
"69 Lũy Bán Bích, Q5",nhà nguyên căn,bán,40.0,4,không có,mới,9298100000.0
"69 Nguyễn Hữu Cảnh, Q3",phòng trọ,cho thuê,13.0,0,đầy đủ,tốt,2100000.0
"192 Hai Bà Trưng, Q10",phòng trọ,cho thuê,19.0,0,không có,tốt,1800000.0
"38 Hàm Nghi, Q6",phòng trọ,cho thuê,12.0,0,cơ bản,mới,1300000.0
"117 Lý Thường Kiệt, Q1",nhà nguyên căn,bán,39.0,3,đầy đủ,cũ,8848500000.0
"105 Quách Thị Trang, Q5",phòng trọ,cho thuê,11.0,0,đầy đủ,tốt,1700000.0
"110 Phạm Văn Đồng, Q10",phòng trọ,cho thuê,14.0,0,đầy đủ,mới,3400000.0
"81 Rừng Sác, Q9",nhà nguyên căn,cho thuê,33.0,4,không có,cũ,15300000.0
"168 Đồng Khởi, Q7",phòng trọ,cho thuê,18.0,0,không có,mới,2300000.0
"38 Âu Cơ, Q10",phòng trọ,cho thuê,9.0,0,đầy đủ,mới,900000.0
"157 Cách Mạng Tháng Tám, Q1",phòng trọ,cho thuê,10.0,0,không có,cũ,600000.0
"8 Quách Thị Trang, Q6",phòng trọ,cho thuê,10.0,0,không có,mới,1300000.0
"184 Võ Nguyên Giáp, Q9",chung cư,bán,124.0,5,cơ bản,tốt,3648900000.0
"10 Lê Duẩn, Q8",phòng trọ,cho thuê,16.0,0,cơ bản,tốt,2200000.0
"77 Lũy Bán Bích, Q6",phòng trọ,cho thuê,16.0,0,không có,tốt,1100000.0
"127 Võ Chí Công, Q6",phòng trọ,cho thuê,14.0,0,đầy đủ,mới,1600000.0
"126 Công xã Paris, Q1",phòng trọ,cho thuê,19.0,0,không có,mới,3500000.0
"13 Lê Văn Duyệt, Q4",phòng trọ,cho thuê,9.0,0,cơ bản,tốt,900000.0
"28 Công xã Paris, Q4",phòng trọ,cho thuê,9.0,0,cơ bản,tốt,900000.0
"135 Nguyễn Huệ, Q2",nhà nguyên căn,bán,36.0,2,không có,cũ,2214900000.0
"1 Phạm Văn Đồng, Q1",nhà nguyên căn,bán,42.0,1,không có,mới,3131700000.0
"135 CMT8, Q9",nhà nguyên căn,cho thuê,27.0,2,cơ bản,mới,6700000.0
"79 Lê Duẩn, Q4",chung cư,bán,65.0,8,không có,cũ,2202100000.0
"96 Lý Tự Trọng, Q10",phòng trọ,cho thuê,15.0,0,cơ bản,mới,1100000.0
"194 Lũy Bán Bích, Q9",phòng trọ,cho thuê,13.0,0,cơ bản,cũ,800000.0
"48 Lê Văn Duyệt, Q2",phòng trọ,cho thuê,15.0,0,cơ bản,tốt,1400000.0
"68 Pasteur, Q7",phòng trọ,cho thuê,18.0,0,đầy đủ,cũ,2700000.0
"31 Âu Cơ, Q8",phòng trọ,cho thuê,11.0,0,đầy đủ,tốt,1700000.0
"189 Trường Chinh, Q10",phòng trọ,cho thuê,11.0,0,đầy đủ,tốt,2100000.0
"110 Lê Văn Duyệt, Q8",phòng trọ,cho thuê,15.0,0,không có,tốt,1100000.0
"165 Cách Mạng Tháng Tám, Q8",phòng trọ,cho thuê,20.0,0,không có,cũ,1000000.0
"28 Rừng Sác, Q3",phòng trọ,cho thuê,10.0,0,cơ bản,mới,1100000.0
"103 Nguyễn Huệ, Q4",văn phòng,bán,260.0,1,đầy đủ,mới,19679300000.0
"168 Âu Cơ, Q7",phòng trọ,cho thuê,11.0,0,cơ bản,cũ,1000000.0
"151 Nguyễn Huệ, Q10",phòng trọ,cho thuê,14.0,0,đầy đủ,mới,3400000.0
"189 Nam Kỳ Khởi Nghĩa, Q5",phòng trọ,cho thuê,18.0,0,không có,tốt,1300000.0
"74 Quốc tế, Q2",phòng trọ,cho thuê,13.0,0,đầy đủ,tốt,1500000.0
"139 Bùi Viện, Q7",chung cư,bán,75.0,9,cơ bản,tốt,2789300000.0
"151 Mai Chí Thọ, Q5",phòng trọ,cho thuê,11.0,0,đầy đủ,cũ,1500000.0
"48 Lý Thường Kiệt, Q1",phòng trọ,cho thuê,19.0,0,cơ bản,mới,1900000.0
"74 Hùng Vương, Q5",phòng trọ,cho thuê,16.0,0,không có,cũ,2400000.0
"92 Lý Tự Trọng, Q6",nhà nguyên căn,cho thuê,33.0,1,không có,cũ,2200000.0
"48 Trần Hưng Đạo, Q9",nhà nguyên căn,bán,38.0,4,cơ bản,cũ,6109200000.0
"116 Phạm Văn Đồng, Q10",chung cư,bán,124.0,3,đầy đủ,tốt,13376200000.0
"110 Xô Viết Nghệ Tĩnh, Q5",phòng trọ,cho thuê,17.0,0,đầy đủ,cũ,1600000.0
"114 Phạm Văn Đồng, Q8",phòng trọ,cho thuê,11.0,0,không có,tốt,600000.0
"79 Quách Thị Trang, Q6",phòng trọ,cho thuê,12.0,0,cơ bản,cũ,1300000.0
"113 Mê Linh, Q9",văn phòng,cho thuê,570.0,13,đầy đủ,cũ,927500000.0
"74 Âu Cơ, Q10",phòng trọ,cho thuê,10.0,0,không có,cũ,700000.0
"77 Rừng Sác, Q1",nhà nguyên căn,bán,35.0,3,đầy đủ,tốt,8117300000.0
"3 Mê Linh, Q5",phòng trọ,cho thuê,9.0,0,đầy đủ,mới,900000.0
"46 Châu Văn Liêm, Q8",phòng trọ,cho thuê,16.0,0,đầy đủ,cũ,900000.0
"93 Võ Chí Công, Q1",phòng trọ,cho thuê,16.0,0,cơ bản,cũ,1700000.0
"27 Nguyễn Văn Linh, Q9",phòng trọ,cho thuê,16.0,0,cơ bản,mới,2500000.0
"57 Hàm Nghi, Q6",phòng trọ,cho thuê,14.0,0,cơ bản,mới,1200000.0
"35 Trường Chinh, Q7",phòng trọ,cho thuê,16.0,0,cơ bản,cũ,2100000.0
"75 Nguyễn Huệ, Q10",phòng trọ,cho thuê,13.0,0,cơ bản,cũ,1800000.0
"30 Nguyễn Hữu Cảnh, Q2",phòng trọ,cho thuê,13.0,0,không có,cũ,1700000.0
"156 Hải Thượng Lãn Ông, Q7",phòng trọ,cho thuê,15.0,0,không có,tốt,2300000.0
"39 Nguyễn Hữu Cảnh, Q7",phòng trọ,cho thuê,12.0,0,cơ bản,tốt,700000.0
"77 Trần Hưng Đạo, Q8",phòng trọ,cho thuê,18.0,0,cơ bản,tốt,2200000.0
"54 Phạm Văn Đồng, Q2",phòng trọ,cho thuê,15.0,0,không có,tốt,1700000.0
"131 CMT8, Q1",nhà nguyên căn,bán,27.0,2,cơ bản,cũ,3197400000.0
"184 Đồng Khởi, Q10",văn phòng,bán,435.0,10,đầy đủ,tốt,34567600000.0
"100 Nguyễn Hữu Cảnh, Q4",phòng trọ,cho thuê,13.0,0,cơ bản,tốt,1400000.0
"67 Rừng Sác, Q7",phòng trọ,cho thuê,16.0,0,không có,cũ,1400000.0
"27 Nguyễn Văn Linh, Q4",phòng trọ,cho thuê,13.0,0,không có,mới,2000000.0
"65 Hùng Vương, Q6",nhà nguyên căn,bán,30.0,5,không có,cũ,4752600000.0
"62 Xô Viết Nghệ Tĩnh, Q7",phòng trọ,cho thuê,12.0,0,cơ bản,cũ,1600000.0
"134 Hàm Nghi, Q1",phòng trọ,cho thuê,10.0,0,không có,tốt,1000000.0
"157 Quốc tế, Q4",chung cư,bán,90.0,10,cơ bản,mới,4855000000.0
"191 Quốc tế, Q6",phòng trọ,cho thuê,13.0,0,đầy đủ,mới,2000000.0
"53 Võ Nguyên Giáp, Q3",phòng trọ,cho thuê,15.0,0,không có,cũ,2100000.0
"17 Lê Văn Duyệt, Q8",nhà nguyên căn,bán,39.0,2,không có,mới,1766200000.0
"173 Lý Thường Kiệt, Q6",chung cư,cho thuê,70.0,9,đầy đủ,tốt,6200000.0
"177 Hai Bà Trưng, Q4",nhà nguyên căn,bán,27.0,5,đầy đủ,tốt,9590200000.0
"1 Hải Thượng Lãn Ông, Q9",phòng trọ,cho thuê,9.0,0,cơ bản,cũ,1100000.0
"127 Lũy Bán Bích, Q2",phòng trọ,cho thuê,17.0,0,không có,mới,1800000.0
"167 Quách Thị Trang, Q6",phòng trọ,cho thuê,20.0,0,không có,cũ,1800000.0
"121 Nguyễn Văn Linh, Q5",phòng trọ,cho thuê,20.0,0,không có,mới,2700000.0
"91 Pasteur, Q8",nhà nguyên căn,cho thuê,43.0,2,đầy đủ,mới,11500000.0
"83 CMT8, Q9",văn phòng,cho thuê,485.0,14,cơ bản,tốt,560700000.0
"84 Trần Hưng Đạo, Q3",phòng trọ,cho thuê,19.0,0,cơ bản,tốt,1300000.0
"194 Lê Văn Duyệt, Q5",phòng trọ,cho thuê,19.0,0,cơ bản,mới,3800000.0
"154 Lê Văn Duyệt, Q7",phòng trọ,cho thuê,17.0,0,đầy đủ,tốt,1500000.0
"72 Quốc tế, Q5",phòng trọ,cho thuê,16.0,0,đầy đủ,mới,2500000.0
"151 Pasteur, Q8",chung cư,cho thuê,70.0,9,cơ bản,tốt,8300000.0
"85 Cách Mạng Tháng Tám, Q5",phòng trọ,cho thuê,12.0,0,không có,tốt,1100000.0
"40 Âu Cơ, Q10",phòng trọ,cho thuê,18.0,0,không có,mới,2200000.0
"69 Nguyễn Trãi, Q9",chung cư,bán,84.0,16,không có,mới,5318900000.0
"135 Nguyễn Trãi, Q9",văn phòng,cho thuê,360.0,1,đầy đủ,mới,264200000.0
"13 Pasteur, Q2",phòng trọ,cho thuê,12.0,0,không có,mới,2000000.0
"43 Rừng Sác, Q1",phòng trọ,cho thuê,17.0,0,đầy đủ,tốt,1400000.0
"48 Hùng Vương, Q6",phòng trọ,cho thuê,12.0,0,đầy đủ,mới,2300000.0
"103 Trần Hưng Đạo, Q9",phòng trọ,cho thuê,11.0,0,cơ bản,mới,1200000.0
"71 Nguyễn Huệ, Q1",phòng trọ,cho thuê,17.0,0,không có,mới,2400000.0
"143 Phạm Ngũ Lão, Q2",văn phòng,cho thuê,265.0,5,không có,mới,355800000.0
"108 Công xã Paris, Q8",chung cư,cho thuê,90.0,15,không có,tốt,5900000.0
"79 Võ Nguyên Giáp, Q8",chung cư,cho thuê,84.0,7,không có,cũ,9800000.0
"85 Nguyễn Huệ, Q7",phòng trọ,cho thuê,14.0,0,cơ bản,cũ,900000.0
"153 Phạm Văn Đồng, Q6",phòng trọ,cho thuê,13.0,0,đầy đủ,cũ,1500000.0
"13 Võ Nguyên Giáp, Q7",phòng trọ,cho thuê,11.0,0,đầy đủ,tốt,800000.0
"92 Võ Chí Công, Q4",phòng trọ,cho thuê,9.0,0,đầy đủ,cũ,700000.0
"11 Lạc Long Quân, Q4",phòng trọ,cho thuê,20.0,0,không có,mới,2200000.0
"110 Nguyễn Trãi, Q3",phòng trọ,cho thuê,9.0,0,cơ bản,tốt,1000000.0
"148 Rừng Sác, Q1",phòng trọ,cho thuê,12.0,0,không có,tốt,1800000.0
"137 Lê Văn Duyệt, Q7",phòng trọ,cho thuê,17.0,0,cơ bản,mới,2100000.0
"130 Lũy Bán Bích, Q8",phòng trọ,cho thuê,9.0,0,cơ bản,cũ,1400000.0
"16 Nguyễn Hữu Cảnh, Q8",phòng trọ,cho thuê,16.0,0,không có,mới,2500000.0
"174 Mê Linh, Q8",phòng trọ,cho thuê,16.0,0,không có,cũ,2200000.0
"179 Quách Thị Trang, Q10",phòng trọ,cho thuê,12.0,0,không có,mới,1400000.0
"36 Lam Sơn, Q8",phòng trọ,cho thuê,10.0,0,cơ bản,cũ,600000.0
"186 Võ Nguyên Giáp, Q9",phòng trọ,cho thuê,13.0,0,cơ bản,mới,2200000.0
"108 Hai Bà Trưng, Q3",phòng trọ,cho thuê,16.0,0,không có,mới,3200000.0
"68 Hai Bà Trưng, Q1",phòng trọ,cho thuê,20.0,0,đầy đủ,tốt,2100000.0
"52 Trần Hưng Đạo, Q8",nhà nguyên căn,bán,41.0,2,cơ bản,tốt,4322200000.0
"13 Nam Kỳ Khởi Nghĩa, Q3",phòng trọ,cho thuê,15.0,0,đầy đủ,tốt,2900000.0
"174 Hai Bà Trưng, Q1",phòng trọ,cho thuê,10.0,0,cơ bản,mới,1800000.0
"120 CMT8, Q3",phòng trọ,cho thuê,14.0,0,không có,tốt,2400000.0
"109 Lam Sơn, Q6",phòng trọ,cho thuê,19.0,0,cơ bản,cũ,2500000.0
"197 Quốc tế, Q9",nhà nguyên căn,bán,42.0,1,đầy đủ,mới,3747900000.0
"169 Võ Nguyên Giáp, Q9",phòng trọ,cho thuê,9.0,0,cơ bản,cũ,1200000.0
"165 Cách Mạng Tháng Tám, Q3",phòng trọ,cho thuê,14.0,0,không có,cũ,2100000.0
"1 Hùng Vương, Q10",phòng trọ,cho thuê,18.0,0,không có,tốt,2200000.0
"199 Võ Nguyên Giáp, Q6",phòng trọ,cho thuê,14.0,0,đầy đủ,tốt,2200000.0
"99 Lạc Long Quân, Q4",phòng trọ,cho thuê,17.0,0,cơ bản,cũ,2300000.0
"81 Trần Hưng Đạo, Q7",văn phòng,cho thuê,405.0,2,đầy đủ,cũ,294500000.0
"138 Âu Cơ, Q6",chung cư,bán,124.0,15,cơ bản,tốt,7549800000.0
"100 Nguyễn Trãi, Q6",phòng trọ,cho thuê,12.0,0,không có,cũ,1300000.0
"21 Đồng Khởi, Q7",văn phòng,cho thuê,570.0,19,không có,tốt,582100000.0
"28 Lam Sơn, Q8",phòng trọ,cho thuê,15.0,0,không có,tốt,2100000.0
"6 Trần Hưng Đạo, Q5",phòng trọ,cho thuê,14.0,0,cơ bản,tốt,1800000.0
"178 Đồng Khởi, Q6",phòng trọ,cho thuê,20.0,0,đầy đủ,tốt,1700000.0
"2 Mai Chí Thọ, Q9",phòng trọ,cho thuê,15.0,0,cơ bản,mới,1100000.0
"139 Rừng Sác, Q8",phòng trọ,cho thuê,11.0,0,đầy đủ,mới,1200000.0
"137 Lê Lợi, Q5",phòng trọ,cho thuê,16.0,0,không có,cũ,900000.0
"9 Trường Chinh, Q6",phòng trọ,cho thuê,12.0,0,đầy đủ,mới,2300000.0
"114 Phạm Văn Đồng, Q3",phòng trọ,cho thuê,12.0,0,đầy đủ,mới,1800000.0
"146 Âu Cơ, Q7",văn phòng,bán,225.0,18,đầy đủ,cũ,11103100000.0
"61 Lý Tự Trọng, Q6",văn phòng,cho thuê,300.0,13,cơ bản,cũ,145000000.0
"82 Lạc Long Quân, Q4",phòng trọ,cho thuê,13.0,0,cơ bản,mới,1300000.0
"54 Bùi Viện, Q1",phòng trọ,cho thuê,13.0,0,không có,mới,1400000.0
"107 Mai Chí Thọ, Q9",phòng trọ,cho thuê,13.0,0,không có,cũ,1700000.0
"178 Phạm Văn Đồng, Q2",phòng trọ,cho thuê,17.0,0,không có,mới,2000000.0
"137 Rừng Sác, Q3",nhà nguyên căn,cho thuê,34.0,4,cơ bản,cũ,13700000.0
"67 Mai Chí Thọ, Q1",phòng trọ,cho thuê,11.0,0,không có,mới,2100000.0
"115 Lam Sơn, Q7",văn phòng,cho thuê,495.0,12,đầy đủ,mới,987800000.0
"152 Quách Thị Trang, Q3",chung cư,bán,84.0,19,cơ bản,cũ,6122900000.0
"142 Công xã Paris, Q5",chung cư,bán,124.0,8,đầy đủ,mới,6187300000.0
"120 Lý Thường Kiệt, Q2",phòng trọ,cho thuê,16.0,0,cơ bản,cũ,1400000.0
"82 Nguyễn Văn Linh, Q7",chung cư,cho thuê,90.0,1,đầy đủ,cũ,7500000.0
"161 Hùng Vương, Q1",phòng trọ,cho thuê,18.0,0,không có,mới,2000000.0
"122 Lam Sơn, Q4",phòng trọ,cho thuê,16.0,0,cơ bản,cũ,1900000.0
"129 Lý Thường Kiệt, Q7",phòng trọ,cho thuê,10.0,0,cơ bản,mới,700000.0
"2 Mai Chí Thọ, Q10",phòng trọ,cho thuê,11.0,0,không có,cũ,1000000.0
"105 Nguyễn Thị Minh Khai, Q10",phòng trọ,cho thuê,11.0,0,cơ bản,cũ,900000.0
"9 Mê Linh, Q4",phòng trọ,cho thuê,19.0,0,không có,tốt,1000000.0
"45 Mê Linh, Q2",phòng trọ,cho thuê,10.0,0,không có,mới,1000000.0
"139 Hùng Vương, Q8",chung cư,bán,90.0,17,không có,cũ,5487900000.0
"125 Xô Viết Nghệ Tĩnh, Q4",nhà nguyên căn,cho thuê,30.0,1,cơ bản,cũ,3400000.0
"120 Lam Sơn, Q5",phòng trọ,cho thuê,13.0,0,cơ bản,cũ,1500000.0
"145 Lê Lợi, Q6",phòng trọ,cho thuê,17.0,0,cơ bản,mới,2200000.0
"170 Hàm Nghi, Q9",chung cư,cho thuê,70.0,10,cơ bản,tốt,9100000.0
"100 Lý Tự Trọng, Q3",phòng trọ,cho thuê,10.0,0,cơ bản,cũ,1500000.0
"47 Tôn Đức Thắng, Q3",phòng trọ,cho thuê,13.0,0,không có,mới,1400000.0
"82 Dân Chủ, Q5",phòng trọ,cho thuê,13.0,0,cơ bản,tốt,2500000.0
"108 Xô Viết Nghệ Tĩnh, Q3",văn phòng,cho thuê,490.0,6,không có,cũ,540400000.0
"23 Lê Lợi, Q6",phòng trọ,cho thuê,15.0,0,không có,mới,1500000.0
"45 Lam Sơn, Q10",phòng trọ,cho thuê,10.0,0,cơ bản,cũ,1700000.0
"59 Phạm Văn Đồng, Q8",phòng trọ,cho thuê,15.0,0,cơ bản,cũ,2200000.0
"113 Võ Chí Công, Q9",phòng trọ,cho thuê,18.0,0,không có,mới,1500000.0
"107 CMT8, Q7",phòng trọ,cho thuê,11.0,0,đầy đủ,mới,2200000.0
"175 Hùng Vương, Q5",phòng trọ,cho thuê,18.0,0,cơ bản,mới,1400000.0
"73 Mai Chí Thọ, Q9",phòng trọ,cho thuê,16.0,0,đầy đủ,cũ,2500000.0
"25 Dân Chủ, Q7",phòng trọ,cho thuê,15.0,0,không có,cũ,1500000.0
"143 Lý Tự Trọng, Q2",chung cư,cho thuê,65.0,12,đầy đủ,cũ,6800000.0
"58 Lam Sơn, Q1",nhà nguyên căn,bán,41.0,4,đầy đủ,mới,8368300000.0
